lane	category	operation	algorithm	samples	median_ns	vs_first_baseline	vs_second_baseline
3.5.8	kem	decaps	ML-KEM-1024	7	30069.7	1.0000	0.1980
3.5.8	kem	decaps	X25519MLKEM768	7	48461.8	1.6116	0.3192
3.5.8	kem	decaps	X301MLKEM1024	7	89964.9	2.9919	0.5925
3.5.8	kem	decaps	X448MLKEM1024	7	151838.0	5.0495	1.0000
3.5.8	kem	encaps	ML-KEM-1024	7	20066.9	1.0000	0.0703
3.5.8	kem	encaps	X25519MLKEM768	7	63992.2	3.1889	0.2241
3.5.8	kem	encaps	X301MLKEM1024	7	108571.0	5.4105	0.3802
3.5.8	kem	encaps	X448MLKEM1024	7	285557.3	14.2303	1.0000
3.5.8	kem	kem-keygen	ML-KEM-1024	7	38113.5	1.0000	0.2073
3.5.8	kem	kem-keygen	X25519MLKEM768	7	50056.7	1.3134	0.2723
3.5.8	kem	kem-keygen	X301MLKEM1024	7	67859.4	1.7805	0.3692
3.5.8	kem	kem-keygen	X448MLKEM1024	7	183814.6	4.8228	1.0000
3.5.8	kex	derive-first	X25519	7	23641.4	1.0000	0.1983
3.5.8	kex	derive-first	X301	7	59597.4	2.5209	0.5000
3.5.8	kex	derive-first	X448	7	119196.8	5.0419	1.0000
3.5.8	kex	derive-second	X25519	7	23683.6	1.0000	0.1987
3.5.8	kex	derive-second	X301	7	59512.1	2.5128	0.4992
3.5.8	kex	derive-second	X448	7	119208.8	5.0334	1.0000
3.5.8	kex	derive-setup	X25519	7	1177.0	1.0000	0.9997
3.5.8	kex	derive-setup	X301	7	1766.5	1.5008	1.5003
3.5.8	kex	derive-setup	X448	7	1177.4	1.0003	1.0000
3.5.8	kex	derive-steady	X25519	7	23618.6	1.0000	0.1972
3.5.8	kex	derive-steady	X301	7	59631.7	2.5248	0.4979
3.5.8	kex	derive-steady	X448	7	119761.8	5.0707	1.0000
3.5.8	kex	keygen	X25519	7	23720.5	1.0000	0.1644
3.5.8	kex	keygen	X301	7	29436.3	1.2410	0.2040
3.5.8	kex	keygen	X448	7	144292.4	6.0830	1.0000
3.5.8	signature	keygen	ED25519	7	25155.1	1.0000	0.1717
3.5.8	signature	keygen	ED448	7	146545.2	5.8257	1.0000
3.5.8	signature	sign	ED25519	7	23911.6	1.0000	0.1632
3.5.8	signature	sign	ED448	7	146517.5	6.1275	1.0000
3.5.8	signature	verify	ED25519	7	78268.2	1.0000	0.5026
3.5.8	signature	verify	ED448	7	155721.9	1.9896	1.0000
