lane	category	operation	algorithm	run	count	mean_ns
3.5.8	kex	keygen	X25519	1	1500	23565.5
3.5.8	kex	derive-setup	X25519	1	1500	1178.3
3.5.8	kex	derive-first	X25519	1	1500	23558.7
3.5.8	kex	derive-second	X25519	1	600	23554.4
3.5.8	kex	derive-steady	X25519	1	1500	23503.7
3.5.8	kex	keygen	X448	1	1500	143981.2
3.5.8	kex	derive-setup	X448	1	1500	1177.8
3.5.8	kex	derive-first	X448	1	1500	119168.9
3.5.8	kex	derive-second	X448	1	600	122912.7
3.5.8	kex	derive-steady	X448	1	1500	122908.9
3.5.8	kex	keygen	X301	1	1500	29335.8
3.5.8	kex	derive-setup	X301	1	1500	1767.4
3.5.8	kex	derive-first	X301	1	1500	59529.4
3.5.8	kex	derive-second	X301	1	600	59756.7
3.5.8	kex	derive-steady	X301	1	1500	59631.7
3.5.8	kem	kem-keygen	ML-KEM-1024	1	400	38969.5
3.5.8	kem	encaps	ML-KEM-1024	1	500	20294.4
3.5.8	kem	decaps	ML-KEM-1024	1	700	30188.7
3.5.8	kem	kem-keygen	X25519MLKEM768	1	400	50207.4
3.5.8	kem	encaps	X25519MLKEM768	1	500	64002.5
3.5.8	kem	decaps	X25519MLKEM768	1	700	48456.0
3.5.8	kem	kem-keygen	X448MLKEM1024	1	400	182845.7
3.5.8	kem	encaps	X448MLKEM1024	1	500	285835.7
3.5.8	kem	decaps	X448MLKEM1024	1	700	151838.0
3.5.8	kem	kem-keygen	X301MLKEM1024	1	400	70703.8
3.5.8	kem	encaps	X301MLKEM1024	1	500	112350.7
3.5.8	kem	decaps	X301MLKEM1024	1	700	90534.4
3.5.8	signature	keygen	ED25519	1	1000	25187.2
3.5.8	signature	sign	ED25519	1	2500	24046.0
3.5.8	signature	verify	ED25519	1	2500	78260.2
3.5.8	signature	keygen	ED448	1	1000	148238.4
3.5.8	signature	sign	ED448	1	2500	149403.2
3.5.8	signature	verify	ED448	1	2500	157798.8
3.5.8	kex	keygen	X301	2	1500	30004.0
3.5.8	kex	derive-setup	X301	2	1500	1710.2
3.5.8	kex	derive-first	X301	2	1500	59705.1
3.5.8	kex	derive-second	X301	2	600	61009.5
3.5.8	kex	derive-steady	X301	2	1500	60802.5
3.5.8	kex	keygen	X448	2	1500	148765.8
3.5.8	kex	derive-setup	X448	2	1500	1345.1
3.5.8	kex	derive-first	X448	2	1500	121759.4
